libelle,codepostal
6 Rue Thénard ,75005
34 Rue Crémieux ,75012
24 Rue De L'Espérance ,75013
35 Rue Véron ,75018
7 Avenue Jean Jaurès ,75019
116 Boulevard De Ménilmontant ,75020
23 Rue Molière ,75001
26 Place Vendôme ,75001
8 Rue Chénier ,75002
18 Rue Des Jeûneurs ,75002
141 Boulevard De Sébastopol ,75002
38 Boulevard De Sébastopol ,75004
30Bis Rue Saint-Séverin ,75005
30Quater Rue Saint-Séverin ,75005
30 Rue Saint-Séverin ,75005
30Ter Rue Saint-Séverin ,75005
32 Rue Saint-Séverin ,75005
9 Rue Saint-Séverin ,75005
15 Rue De L'École De Médecine ,75006
17 Rue De La Comète ,75007
48 Rue De Sèvres ,75007
50-52 Rue De Sèvres ,75007
7 Rue De Surène ,75008
24 Cité De Trévise ,75009
22 Rue La Bruyère ,75009
10 Rue Gérando ,75009
8 Rue De Liège ,75009
18 Rue De La Fidélité ,75010
137 Boulevard De Ménilmontant ,75011
56 Rue Saint-Sébastien ,75011
17 Rue Saint-Sébastien ,75011
51 Avenue De Saint-Mandé ,75012
33 Avenue De Saint-Mandé ,75012
8 Rue De Cîteaux ,75012
8 Rue De La Gaîté ,75014
7 Rue Du Couédic ,75014
114-116 Rue Du Théâtre ,75015
131 Rue Du Théâtre ,75015
30 Rue Berzélius ,75017
13 Rue Hélène ,75017
7 Rue Berzélius ,75017
35 Rue De La Félicité ,75017
106 Rue De La Jonquière ,75017
70 Rue De Lévis ,75017
52 Boulevard Barbès ,75018
9 Rue Cavé ,75018
54 Boulevard Barbès ,75018
16 Rue Véron ,75018
42 Boulevard Barbès ,75018
26 Rue Véron ,75018
64 Avenue Jean Jaurès ,75019
115 Avenue Jean Jaurès ,75019
99 Avenue Jean Jaurès ,75019
176 Avenue Jean Jaurès ,75019
113 Avenue Jean Jaurès ,75019
100--102 Rue Des Maraîchers ,75020
14-16 Rue Dénoyez ,75020
32 Rue Frédérick Lemaître ,75020
108 Boulevard De Ménilmontant ,75020
19 Rue Caillié ,75018
115 Avenue Jean Jaurès ,75019
